typehus,vaerelse,postnummer,adresse,energimaerke,href,grundareal,antal_plan,boligareal,byggeaar,ejendomsvaerdi,liggetid_slut,liggetid_start,salgsdato,salgspris,udbudspris,varmekilde,ydervaegsmateriale,liggetid,afslag,kvadratmeterpris,salgsaar,salgsmaaned
Villa,5,8260 Viby J,Gammelsø Vænge 9C,a,https://www.boligsiden.dk/arkiv/628391900,866,1,141,2011,2700000,2016-11-24,2016-08-26,2016-11-24,2950000,3085000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",90,135000,20921,2016,11
Villa,5,8310 Tranbjerg J,Børupvej 149,a,https://www.boligsiden.dk/arkiv/601321175,701,1,169,2013,2550000,2015-01-23,2014-12-17,2015-01-22,3598000,3598000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",36,0,21289,2015,1
Villa,5,8250 Egå,Mejlbyvej 97,f,https://www.boligsiden.dk/arkiv/757771466,10568,1,170,1889,1950000,2015-01-22,2014-12-18,2015-01-21,1795000,1795000,"Centralvarme fra eget anlæg, etkammer fyr","Mursten (tegl, kalksten, cementsten)",34,0,10558,2015,1
Rækkehus,4,8462 Harlev J,Ketting Parkvej 54,b,https://www.boligsiden.dk/arkiv/964432063,256,1,104,2009,1650000,2015-01-19,2014-12-18,2015-01-19,1950000,1950000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",32,0,18750,2015,1
Villa,4,8520 Lystrup,Gyvelbakken 11,d,https://www.boligsiden.dk/arkiv/182677325,905,1,142,1967,2150000,2015-05-26,2014-12-18,2015-05-26,3250000,3299000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",159,49000,22887,2015,5
Villa,6,8330 Beder,Skoleparken 25,e,https://www.boligsiden.dk/arkiv/735038177,798,1,143,1965,2000000,2015-06-22,2014-12-19,2015-06-22,2575000,2575000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",185,0,18006,2015,6
Villa,7,8310 Tranbjerg J,Kirkevænget 74,e,https://www.boligsiden.dk/arkiv/433902133,899,1,197,1983,2750000,2016-07-26,2016-05-19,2016-07-25,3770000,3670000,"Elovne, elpaneler","Mursten (tegl, kalksten, cementsten)",67,-100000,19137,2016,7
Villa,6,8270 Højbjerg,Ollerupvej 11,d,https://www.boligsiden.dk/arkiv/980066152,780,1,137,1953,2600000,2015-08-04,2014-12-19,2015-09-04,3545000,3595000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",259,50000,25875,2015,9
Rækkehus,4,8381 Tilst,Enøvænget 31,d,https://www.boligsiden.dk/arkiv/976377315,318,1,95,1974,1400000,2015-11-02,2014-12-19,2015-10-02,1917500,1945000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",287,27500,20184,2015,10
Villa,5,8250 Egå,Annekærvej 17,e,https://www.boligsiden.dk/arkiv/937545616,922,1,211,2016,3800000,2015-08-01,2014-12-19,2015-05-01,2250000,2200000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",133,-50000,10663,2015,5
Villa,4,8240 Risskov,Firkløvervej 24,d,https://www.boligsiden.dk/arkiv/342863206,771,1,103,1959,2600000,2015-03-16,2014-12-19,2015-12-03,3575000,3575000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",349,0,34708,2015,12
Rækkehus,5,8220 Brabrand,Tyttebærvej 12,d,https://www.boligsiden.dk/arkiv/244697330,1011,1,136,1960,2000000,2015-03-30,2014-12-20,2015-03-30,3750000,3900000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",100,150000,27573,2015,3
Villa,7,8530 Hjortshøj,Balshøje 2,e,https://www.boligsiden.dk/arkiv/580699479,6889,1,200,1917,1700000,2016-02-22,2014-12-21,2016-02-15,1800000,1998000,"Centralvarme fra eget anlæg, etkammer fyr","Mursten (tegl, kalksten, cementsten)",421,198000,9000,2016,2
Villa,4,8355 Solbjerg,Hasselvangen 62,b,https://www.boligsiden.dk/arkiv/781872745,808,1,171,2010,2500000,2015-09-04,2014-12-22,2015-08-04,3195000,3195000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",225,0,18684,2015,8
Villa,5,8240 Risskov,Hørmarks Alle 16,f,https://www.boligsiden.dk/arkiv/329294506,670,1,188,2016,4750000,2015-02-14,2014-12-22,2015-10-02,3300000,3500000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",284,200000,17553,2015,10
Villa,6,8270 Højbjerg,Elverdalsvej 83,f,https://www.boligsiden.dk/arkiv/346035412,819,1,120,1957,1950000,2015-12-02,2014-12-22,2015-04-02,2595000,2595000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",101,0,21625,2015,4
Villa,5,8520 Lystrup,Hybenhaven 27,b,https://www.boligsiden.dk/arkiv/127276776,816,1,169,2011,3100000,2017-09-01,2016-12-20,2017-09-01,4395000,4395000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",255,0,26005,2017,9
Villa,5,8270 Højbjerg,Nagelsvej 2,d,https://www.boligsiden.dk/arkiv/783808114,1221,2,170,1912,4500000,2015-02-02,2014-12-23,2015-01-29,5550000,5700000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",37,150000,32647,2015,1
Villa,8,8000 Aarhus C,Holtevej 20,c,https://www.boligsiden.dk/arkiv/815514500,800,2,210,1919,6950000,2015-07-29,2014-12-23,2015-07-28,10500000,11750000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",217,1250000,50000,2015,7
Rækkehus,4,8220 Brabrand,Ørvadsvej 94,c,https://www.boligsiden.dk/arkiv/397856003,178,1,123,1976,1650000,2015-03-25,2014-12-23,2015-06-03,2148000,2248000,Fjernvarme/blokvarme (radiatorsystemer el. varmluftanlæg),"Mursten (tegl, kalksten, cementsten)",162,100000,17463,2015,6
